X,Y,Start_time,Duration (min)
15,0,06:53,2
15,2,06:55,1
15,4,06:56,1
15,6,06:57,2
15,8,06:59,1
15,10,07:00,1
15,12,07:01,1
15,14,07:02,1
15,16,07:03,1
15,18,07:04,1
15,20,07:05,1
15,22,07:06,1
15,24,07:07,1
15,26,07:08,1
15,28,07:09,1
15,30,07:10,1
15.5,30.5,07:11,1
17.5,30.5,07:12,1
19.5,30.5,07:13,1
21.5,30.5,07:14,1
23.5,30.5,07:15,1
25.5,30.5,07:16,1
27.5,30.5,07:17,1
28.5,29.5,07:18,1
28.5,27.5,07:19,1
28.5,25.5,07:20,1
28.5,23.5,07:21,1
28.5,21.5,07:22,1
28.5,19.5,07:23,1
28.5,17.5,07:24,1
28.5,15.5,07:25,1
28.5,13.5,07:26,1
28.5,11.5,07:27,1
28.5,9.5,07:28,1
28.5,7.5,07:29,1
28.5,5.5,07:30,1
28.5,3.5,07:31,1
28.5,1.5,07:32,1
28,0,07:33,1
26,0,07:34,1
24,0,07:35,1
22,0,07:36,1
20,0,07:37,1
18,0,07:38,1
16,0,07:39,1
15,0,07:40,1